tiempo	1498128,NOUN,SINGULAR
pepino	3365,NOUN,SINGULAR
odioso	3364,ADJECTIVE
gordos	3358,ADJECTIVE,NOUN,PLURAL
sorteo	3358,NOUN,VERB,SINGULAR
torcer	3356,VERB
carajo	3347,NOUN,INTERJECTION,SINGULAR
hebrea	3341,NOUN,ADJECTIVE,SINGULAR
rubios	3330,ADJECTIVE,NOUN,PLURAL
agarro	3327,NOUN,VERB,SINGULAR
obviar	3319,VERB
bagaje	3309,NOUN,SINGULAR
sutura	3293,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
soplar	3290,VERB
innato	3280,ADJECTIVE
comuna	3267,NOUN,SINGULAR
mixtos	3258,ADJECTIVE,NOUN,PLURAL
vasija	3249,NOUN,SINGULAR
clavar	3244,VERB
acervo	3242,NOUN,VERB,SINGULAR
esbozo	3236,NOUN,VERB,SINGULAR
polaco	3229,ADJECTIVE,NOUN,SINGULAR
millar	3227,NOUN,SINGULAR
temple	3216,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
caucho	3213,NOUN,SINGULAR
lacayo	3203,NOUN,SINGULAR
sensor	3201,ADJECTIVE,NOUN,SINGULAR
libido	3195,NOUN,SINGULAR
pupila	3192,NOUN,SINGULAR
corcho	3184,NOUN,SINGULAR
suplir	3164,VERB
lastre	3150,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
bufido	3140,NOUN,SINGULAR
alabar	3135,VERB
cripta	3130,NOUN,SINGULAR
planas	3121,ADJECTIVE,NOUN,PLURAL
agotar	3120,VERB
nativo	3118,ADJECTIVE,NOUN,SINGULAR
gatito	3113,NOUN,SINGULAR
cordel	3110,NOUN,SINGULAR
rancio	3103,ADJECTIVE,NOUN,SINGULAR
neutra	3089,ADJECTIVE
mimbre	3078,NOUN,SINGULAR
turbio	3077,ADJECTIVE
brandy	3065,NOUN,SINGULAR
rareza	3056,NOUN,SINGULAR
chakra	3045,NOUN,SINGULAR
filete	3044,NOUN,SINGULAR
sabias	3030,ADJECTIVE,NOUN,PLURAL
salsas	3030,ADJECTIVE,NOUN,PLURAL
orinar	2997,VERB
volado	2984,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
altivo	2946,ADJECTIVE
restar	2940,VERB
burdel	2931,NOUN,SINGULAR
perito	2929,ADJECTIVE,NOUN,VERB,SINGULAR
espiar	2915,VERB
pitido	2905,NOUN,SINGULAR
octava	2900,NOUN,ADJECTIVE,SINGULAR
crudos	2898,ADJECTIVE,NOUN,PLURAL
omitir	2896,VERB
bocina	2894,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
enanos	2888,ADJECTIVE,NOUN,PLURAL
ladrar	2887,VERB
boceto	2885,NOUN,VERB,SINGULAR
airado	2879,ADJECTIVE,PARTICIPLE
mordaz	2878,ADJECTIVE
venosa	2876,ADJECTIVE
evadir	2873,VERB
cocida	2868,ADJECTIVE,PARTICIPLE
canoso	2859,ADJECTIVE
frunce	2856,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
rocoso	2856,ADJECTIVE
santas	2851,ADJECTIVE,NOUN,PLURAL
boleto	2847,NOUN,SINGULAR
pagada	2833,ADJECTIVE,PARTICIPLE
senado	2832,NOUN,SINGULAR
atraso	2831,NOUN,VERB,SINGULAR
divisa	2814,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
empero	2800,ADVERB,VERB
rocosa	2794,ADJECTIVE
culata	2793,NOUN,SINGULAR
gemela	2793,NOUN,ADJECTIVE,SINGULAR
visera	2783,NOUN,SINGULAR
decano	2778,NOUN,SINGULAR
recodo	2778,NOUN,VERB,SINGULAR
sobria	2775,ADJECTIVE
odiosa	2774,ADJECTIVE
manjar	2773,NOUN,SINGULAR
cenado	2770,ADJECTIVE,PARTICIPLE
solapa	2759,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
secado	2758,NOUN,PARTICIPLE,SINGULAR
arrojo	2757,NOUN,VERB,SINGULAR
agitar	2737,VERB
traste	2729,NOUN,SINGULAR
vegana	2724,NOUN,ADJECTIVE,SINGULAR
carnet	2721,NOUN,SINGULAR
sellar	2714,VERB
casero	2711,ADJECTIVE,NOUN,SINGULAR
galera	2690,NOUN,SINGULAR
pisado	2687,ADJECTIVE,PARTICIPLE
cactus	2686,NOUN,SINGULAR
brutos	2675,ADJECTIVE,NOUN,PLURAL
lindas	2666,ADJECTIVE,VERB
palpar	2666,VERB
infiel	2664,ADJECTIVE,NOUN,SINGULAR
diezmo	2656,NOUN,ADJECTIVE,VERB,SINGULAR
fragor	2655,NOUN,SINGULAR
duende	2644,NOUN,SINGULAR
papiro	2642,NOUN,SINGULAR
rictus	2634,NOUN,SINGULAR
trompa	2630,NOUN,SINGULAR
curado	2613,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
azteca	2612,ADJECTIVE,NOUN,SINGULAR
calada	2611,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
velero	2610,NOUN,SINGULAR
aleteo	2603,NOUN,VERB,SINGULAR
vascos	2596,ADJECTIVE,NOUN,PLURAL
minero	2592,ADJECTIVE,NOUN,SINGULAR
mitral	2590,ADJECTIVE
viveza	2590,NOUN,SINGULAR
ganada	2589,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
peluca	2586,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
tapada	2577,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
bikini	2574,NOUN,SINGULAR
reacio	2569,ADJECTIVE
zorros	2563,ADJECTIVE,NOUN,PLURAL
tapado	2560,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
chicle	2551,NOUN,SINGULAR
servil	2540,ADJECTIVE
pintas	2535,ADJECTIVE,NOUN,VERB,PLURAL
edicto	2533,NOUN,SINGULAR
arribo	2532,NOUN,VERB,SINGULAR
maceta	2529,NOUN,SINGULAR
mutuas	2523,ADJECTIVE
calado	2516,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
tintas	2516,ADJECTIVE,NOUN,VERB,PLURAL
macizo	2513,ADJECTIVE,NOUN,VERB,SINGULAR
hiedra	2506,NOUN,SINGULAR
biblia	2504,NOUN,SINGULAR
cereza	2502,ADJECTIVE,NOUN,SINGULAR
resina	2502,NOUN,SINGULAR
bucear	2500,VERB
filial	2495,ADJECTIVE,NOUN,SINGULAR
chalet	2494,NOUN,SINGULAR
fregar	2490,VERB
altiva	2487,ADJECTIVE
tornar	2485,VERB,INF
empate	2481,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
cursar	2475,VERB
corcel	2473,NOUN,SINGULAR
bollos	2464,ADJECTIVE,NOUN,PLURAL
hueste	2459,NOUN,ADJECTIVE,SINGULAR
tentar	2456,VERB
sotana	2451,NOUN,SINGULAR
juerga	2444,NOUN,SINGULAR
picnic	2437,NOUN,SINGULAR
astral	2434,ADJECTIVE
acatar	2433,VERB
alzada	2428,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
torero	2425,NOUN,SINGULAR
electo	2421,ADJECTIVE,PARTICIPLE
colado	2415,ADJECTIVE,PARTICIPLE
hockey	2413,NOUN,SINGULAR
sedoso	2412,ADJECTIVE
estaca	2409,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
aliada	2408,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
chisme	2405,NOUN,SINGULAR
bajita	2404,ADJECTIVE
neural	2386,ADJECTIVE
rebote	2374,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
reptil	2370,ADJECTIVE,NOUN,SINGULAR
pulido	2364,ADJECTIVE,PARTICIPLE
lentas	2363,ADJECTIVE
tapete	2362,NOUN,SINGULAR
turbia	2359,ADJECTIVE
sumiso	2354,ADJECTIVE
dolido	2353,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
gordas	2342,ADJECTIVE,NOUN,PLURAL
stress	2334,NOUN,SINGULAR
pactar	2333,VERB
alojar	2332,VERB
airada	2330,ADJECTIVE,PARTICIPLE
pueril	2326,ADJECTIVE
mesero	2324,NOUN,SINGULAR
plenos	2324,ADJECTIVE,NOUN,PLURAL
ranura	2323,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
guapos	2319,ADJECTIVE,NOUN,PLURAL
supino	2315,ADJECTIVE
floral	2314,ADJECTIVE
crudas	2308,ADJECTIVE,NOUN,PLURAL
novena	2308,NOUN,ADJECTIVE,SINGULAR
pelado	2306,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
verdor	2300,NOUN,SINGULAR
beicon	2296,NOUN,SINGULAR
predio	2294,NOUN,SINGULAR
chupar	2290,VERB
sabana	2289,NOUN,SINGULAR
mixtas	2284,ADJECTIVE
cantor	2283,ADJECTIVE,NOUN,SINGULAR
molida	2279,ADJECTIVE,PARTICIPLE
laicos	2269,ADJECTIVE,NOUN,PLURAL
pillar	2264,VERB
encara	2252,ADVERB,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
rectos	2250,ADJECTIVE,NOUN,PLURAL
lindos	2238,ADJECTIVE
mesura	2236,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
astuta	2233,ADJECTIVE
devoto	2228,ADJECTIVE,NOUN,SINGULAR
rizada	2228,ADJECTIVE,PARTICIPLE
percha	2227,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
densas	2224,ADJECTIVE
privar	2221,VERB
pulida	2218,ADJECTIVE,PARTICIPLE
andado	2213,PARTICIPLE,NOUN,SINGULAR
hijita	2212,NOUN,SINGULAR
portar	2212,VERB
fundir	2209,VERB
anexos	2204,ADJECTIVE,NOUN,PLURAL
halago	2198,NOUN,VERB,SINGULAR
muleta	2197,NOUN,SINGULAR
indias	2196,ADJECTIVE,NOUN,PLURAL
tribal	2173,ADJECTIVE
batido	2167,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
cuarzo	2152,NOUN,SINGULAR
farola	2151,NOUN,SINGULAR
nocivo	2146,ADJECTIVE
ducado	2145,NOUN,SINGULAR
andina	2144,NOUN,ADJECTIVE,SINGULAR
barman	2139,NOUN,SINGULAR
ocioso	2137,ADJECTIVE,NOUN,SINGULAR
cuneta	2136,NOUN,SINGULAR
casaca	2130,NOUN,SINGULAR
colada	2129,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
hurgar	2117,VERB
burros	2114,ADJECTIVE,NOUN,PLURAL
fisura	2113,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
alzado	2108,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
chance	2108,NOUN,CONJUNCTION,SINGULAR
encina	2103,NOUN,SINGULAR
pagana	2103,NOUN,ADJECTIVE,SINGULAR
embudo	2099,NOUN,SINGULAR
costra	2095,NOUN,SINGULAR
nevada	2093,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
enredo	2090,NOUN,VERB,SINGULAR
hervor	2089,NOUN,SINGULAR
morgue	2085,NOUN,SINGULAR
movida	2084,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
finura	2080,NOUN,SINGULAR
necios	2080,ADJECTIVE,NOUN,PLURAL
cogida	2079,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
cursor	2078,NOUN,SINGULAR
proeza	2076,NOUN,SINGULAR
saldar	2076,VERB
desliz	2074,NOUN,SINGULAR
chusma	2067,NOUN,ADJECTIVE,SINGULAR
venoso	2067,ADJECTIVE
recato	2062,NOUN,VERB,SINGULAR
odisea	2061,NOUN,SINGULAR
venado	2061,NOUN,SINGULAR
candor	2060,NOUN,SINGULAR
volcar	2044,VERB
efigie	2043,NOUN,SINGULAR
idilio	2043,NOUN,SINGULAR
robada	2035,ADJECTIVE,PARTICIPLE
silbar	2034,VERB
felino	2030,ADJECTIVE,NOUN,SINGULAR
erigir	2029,VERB
polaca	2028,NOUN,ADJECTIVE,SINGULAR
baraja	2024,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
tutora	2022,NOUN,SINGULAR
afinar	2020,VERB
abasto	2010,NOUN,VERB,SINGULAR
frotar	2008,VERB
uranio	2008,NOUN,SINGULAR
limite	2003,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
levita	2001,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
exenta	1999,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
emular	1998,VERB
otrora	1996,ADJECTIVE,ADVERB
sonata	1996,NOUN,SINGULAR
zigzag	1995,NOUN,SINGULAR
apunte	1991,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
claxon	1989,NOUN,SINGULAR
sirope	1984,NOUN,SINGULAR
jaguar	1983,NOUN,SINGULAR
atajar	1981,VERB
anales	1975,ADJECTIVE,NOUN,PLURAL
axioma	1971,NOUN,SINGULAR
rubias	1969,ADJECTIVE,NOUN,PLURAL
pagano	1965,ADJECTIVE,NOUN,SINGULAR
meollo	1963,NOUN,SINGULAR
mutuos	1963,ADJECTIVE
gaucho	1958,ADJECTIVE,NOUN,SINGULAR
jugoso	1957,ADJECTIVE
amasar	1948,VERB
arcada	1948,NOUN,SINGULAR
candil	1948,NOUN,SINGULAR
ruleta	1945,NOUN,SINGULAR
apical	1943,ADJECTIVE
fritos	1936,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
ropero	1936,ADJECTIVE,NOUN,SINGULAR
abolir	1932,VERB
goleta	1928,NOUN,SINGULAR
hartos	1926,ADJECTIVE
patear	1922,VERB
gitano	1915,ADJECTIVE,NOUN,SINGULAR
nutrir	1914,VERB
racimo	1912,NOUN,SINGULAR
biliar	1898,ADJECTIVE
gozoso	1894,ADJECTIVE
enojar	1886,VERB
obvios	1886,ADJECTIVE
filmar	1885,VERB
zarpar	1885,VERB
ramita	1883,NOUN,SINGULAR
etanol	1880,NOUN,SINGULAR
ramera	1880,NOUN,SINGULAR
gitana	1879,NOUN,ADJECTIVE,SINGULAR
moreno	1879,ADJECTIVE,NOUN,SINGULAR
islote	1875,NOUN,SINGULAR
sedosa	1874,ADJECTIVE
morral	1870,NOUN,SINGULAR
papado	1869,NOUN,PARTICIPLE,SINGULAR
lustre	1865,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
diluir	1859,VERB
ociosa	1855,NOUN,ADJECTIVE,SINGULAR
conteo	1850,NOUN,SINGULAR
espesa	1850,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
tupido	1848,ADJECTIVE,PARTICIPLE
ayunas	1847,ADJECTIVE,VERB
dintel	1844,NOUN,SINGULAR
avivar	1843,VERB
labrar	1839,VERB
crisol	1835,NOUN,SINGULAR
gorila	1834,NOUN,SINGULAR
guapas	1833,ADJECTIVE
cojera	1832,NOUN,SINGULAR
gachas	1830,NOUN,ADJECTIVE,PLURAL
jadear	1828,VERB
mimada	1820,ADJECTIVE,PARTICIPLE
arruga	1819,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
barrer	1811,VERB
buitre	1809,NOUN,SINGULAR
bobina	1808,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
hernia	1807,NOUN,VERB,3PS,IMP,INFLECTED_FORM,SINGULAR
mulato	1807,ADJECTIVE,NOUN,SINGULAR
rondar	1807,VERB
pomada	1805,NOUN,SINGULAR
impago	1803,NOUN,VERB,SINGULAR
noveno	1797,ADJECTIVE,NOUN,SINGULAR
salvos	1797,ADJECTIVE
danzar	1796,VERB
hangar	1795,NOUN,SINGULAR
elixir	1790,NOUN,SINGULAR
reseca	1787,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
larvas	1785,ADJECTIVE,NOUN,PLURAL
gozosa	1783,ADJECTIVE
herpes	1782,NOUN,SINGULAR
sierva	1780,NOUN,SINGULAR
andino	1776,ADJECTIVE,NOUN,SINGULAR
adusto	1773,ADJECTIVE
balada	1770,NOUN,PARTICIPLE,SINGULAR
burlar	1768,VERB
pinche	1762,ADJECTIVE,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
reacia	1760,ADJECTIVE
viraje	1760,NOUN,SINGULAR
asadas	1759,ADJECTIVE,PARTICIPLE
cotejo	1759,NOUN,VERB,SINGULAR
releer	1759,VERB
jocoso	1757,ADJECTIVE
vinilo	1757,NOUN,SINGULAR
nuncio	1754,NOUN,SINGULAR
enjuto	1753,ADJECTIVE,VERB
penado	1752,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
labial	1750,ADJECTIVE,NOUN,SINGULAR
puerro	1749,NOUN,SINGULAR
batida	1747,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
cumbia	1747,NOUN,SINGULAR
brocha	1746,NOUN,ADJECTIVE,SINGULAR
bolita	1742,NOUN,SINGULAR
hereje	1742,ADJECTIVE,NOUN,SINGULAR
atraco	1740,NOUN,VERB,SINGULAR
atasco	1736,NOUN,VERB,SINGULAR
paella	1736,NOUN,SINGULAR
gravar	1734,VERB
hinojo	1729,NOUN,SINGULAR
vastos	1727,ADJECTIVE
estepa	1726,NOUN,SINGULAR
zanjar	1722,VERB
tupida	1720,ADJECTIVE,PARTICIPLE
impuro	1710,ADJECTIVE
densos	1705,ADJECTIVE
druida	1703,NOUN,SINGULAR
abatir	1700,VERB
tocada	1694,ADJECTIVE,PARTICIPLE
valija	1693,NOUN,SINGULAR
madero	1692,NOUN,SINGULAR
dejada	1689,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
novato	1689,ADJECTIVE,NOUN,SINGULAR
bastar	1688,VERB
plenas	1687,ADJECTIVE,NOUN,PLURAL
rebaja	1669,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
joyero	1663,NOUN,SINGULAR
sumisa	1661,ADJECTIVE
rectal	1657,ADJECTIVE
receso	1655,NOUN,VERB,SINGULAR
brizna	1647,NOUN,SINGULAR
grifos	1646,ADJECTIVE,NOUN,PLURAL
invite	1645,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
ovario	1638,NOUN,SINGULAR
cubeta	1635,NOUN,ADJECTIVE,SINGULAR
biombo	1633,NOUN,SINGULAR
loable	1632,ADJECTIVE
peludo	1632,ADJECTIVE,NOUN,SINGULAR
quanto	1629,ADJECTIVE,ADVERB,PRONOUN,NOUN,SINGULAR
suizos	1625,ADJECTIVE,NOUN,PLURAL
ponche	1617,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
apurar	1615,VERB
trucha	1614,NOUN,ADJECTIVE,SINGULAR
acuosa	1612,ADJECTIVE
iguala	1610,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
pardos	1609,ADJECTIVE,NOUN,PLURAL
maciza	1604,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
sufijo	1604,NOUN,ADJECTIVE,VERB,SINGULAR
opacos	1602,ADJECTIVE
garita	1600,NOUN,SINGULAR
desuso	1599,NOUN,SINGULAR
redada	1597,NOUN,SINGULAR
puerco	1589,NOUN,ADJECTIVE,SINGULAR
costal	1588,ADJECTIVE,NOUN,SINGULAR
diurna	1586,ADJECTIVE
acotar	1582,VERB
quinoa	1581,NOUN,SINGULAR
ropaje	1576,NOUN,SINGULAR
vastas	1566,ADJECTIVE
pelada	1561,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
hincha	1559,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
ungido	1559,ADJECTIVE,PARTICIPLE
jugosa	1553,ADJECTIVE
banana	1550,NOUN,SINGULAR
quilla	1543,NOUN,SINGULAR
hondas	1535,NOUN,ADJECTIVE,PLURAL
rabiar	1530,VERB
trotar	1528,VERB
charca	1526,NOUN,SINGULAR
bombeo	1524,NOUN,VERB,SINGULAR
tontas	1524,ADJECTIVE,NOUN,PLURAL
momias	1523,ADJECTIVE,NOUN,PLURAL
obesos	1523,ADJECTIVE,NOUN,PLURAL
aullar	1520,VERB
bajeza	1518,NOUN,SINGULAR
peseta	1517,NOUN,SINGULAR
lavada	1512,NOUN,PARTICIPLE,SINGULAR
pupilo	1511,NOUN,SINGULAR
cierne	1505,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
poblar	1504,VERB
ayunos	1503,ADJECTIVE,NOUN,PLURAL
cayado	1502,NOUN,SINGULAR
gatita	1499,NOUN,SINGULAR
devota	1497,NOUN,ADJECTIVE,SINGULAR
fragua	1495,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
mexica	1495,ADJECTIVE,NOUN,SINGULAR
perdiz	1495,NOUN,SINGULAR
tenues	1493,ADJECTIVE
manija	1492,NOUN,SINGULAR
golpeo	1491,NOUN,VERB,SINGULAR
tablet	1491,NOUN,SINGULAR
usanza	1482,NOUN,SINGULAR
caries	1473,NOUN,SINGULAR
tromba	1471,NOUN,SINGULAR
coloso	1465,NOUN,SINGULAR
sables	1462,ADJECTIVE,NOUN,PLURAL
nevado	1461,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
solito	1461,ADJECTIVE
colmar	1458,VERB
metano	1455,NOUN,SINGULAR
pileta	1451,NOUN,SINGULAR
manita	1450,NOUN,SINGULAR
finita	1449,ADJECTIVE
llanos	1446,ADJECTIVE,NOUN,PLURAL
boicot	1445,NOUN,SINGULAR
fiador	1445,NOUN,SINGULAR
vocero	1445,NOUN,SINGULAR
espino	1437,NOUN,VERB,SINGULAR
agobio	1434,NOUN,VERB,SINGULAR
natura	1434,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
capote	1431,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
marica	1429,NOUN,SINGULAR
rugosa	1429,ADJECTIVE
remera	1428,NOUN,SINGULAR
frijol	1427,NOUN,SINGULAR
gansos	1427,ADJECTIVE,NOUN,PLURAL
toscos	1424,ADJECTIVE
bravas	1423,ADJECTIVE
gringo	1423,NOUN,SINGULAR
botica	1422,NOUN,SINGULAR
cabreo	1422,NOUN,VERB,SINGULAR
postor	1422,NOUN,SINGULAR
exigua	1421,ADJECTIVE
separo	1420,NOUN,VERB,SINGULAR
chicha	1416,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
surtir	1416,VERB
clavel	1414,NOUN,SINGULAR
sepsis	1413,NOUN,SINGULAR
perras	1412,ADJECTIVE,NOUN,PLURAL
hojear	1411,VERB
asados	1409,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
ayunar	1405,VERB
avatar	1402,NOUN,SINGULAR
curada	1401,ADJECTIVE,PARTICIPLE
plagio	1401,NOUN,VERB,SINGULAR
cogote	1400,NOUN,SINGULAR
tajada	1400,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
tuerto	1399,ADJECTIVE,NOUN,SINGULAR
serial	1394,ADJECTIVE,NOUN,SINGULAR
tictac	1394,INTERJECTION,NOUN,SINGULAR
jurada	1390,NOUN,PARTICIPLE,SINGULAR
mocoso	1389,ADJECTIVE,NOUN,SINGULAR
tuerca	1386,NOUN,SINGULAR
espiga	1384,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
batuta	1377,NOUN,SINGULAR
laptop	1377,NOUN,SINGULAR
pompas	1377,ADJECTIVE,NOUN,PLURAL
tiento	1377,NOUN,VERB,SINGULAR
bravos	1372,ADJECTIVE
asiduo	1371,ADJECTIVE
madeja	1371,NOUN,SINGULAR
erecto	1367,ADJECTIVE
flacas	1365,ADJECTIVE,NOUN,PLURAL
cobija	1362,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
locuaz	1355,ADJECTIVE
mamita	1351,NOUN,SINGULAR
belgas	1350,ADJECTIVE,NOUN,PLURAL
pecera	1349,NOUN,SINGULAR
trasto	1347,NOUN,SINGULAR
frugal	1346,ADJECTIVE
ramaje	1346,NOUN,SINGULAR
glande	1344,NOUN,SINGULAR
target	1337,NOUN,SINGULAR
asador	1334,NOUN,SINGULAR
tumbar	1334,VERB
mesera	1333,NOUN,SINGULAR
arista	1328,NOUN,SINGULAR
canina	1323,ADJECTIVE
embate	1323,NOUN,SINGULAR
eunuco	1320,NOUN,SINGULAR
toxina	1320,NOUN,SINGULAR
caliza	1318,NOUN,ADJECTIVE,SINGULAR
bordar	1316,VERB
estera	1316,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
negada	1316,ADJECTIVE,PARTICIPLE
cazado	1312,ADJECTIVE,PARTICIPLE
librea	1310,NOUN,SINGULAR
celtas	1309,ADJECTIVE,NOUN,PLURAL
fiasco	1307,NOUN,SINGULAR
aladas	1305,ADJECTIVE
amarre	1304,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
calesa	1303,NOUN,SINGULAR
cosita	1302,NOUN,SINGULAR
yanqui	1299,ADJECTIVE,NOUN,SINGULAR
peinar	1298,VERB
felina	1297,ADJECTIVE
single	1297,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
patrio	1295,ADJECTIVE
camada	1294,NOUN,SINGULAR
cerezo	1292,NOUN,SINGULAR
cincel	1292,NOUN,SINGULAR
estuco	1292,NOUN,VERB,SINGULAR
zafiro	1291,NOUN,SINGULAR
cerdas	1289,ADJECTIVE,NOUN,PLURAL
exiguo	1285,ADJECTIVE
copita	1282,NOUN,SINGULAR
gacela	1281,NOUN,SINGULAR
mulata	1280,NOUN,ADJECTIVE,SINGULAR
huecas	1279,ADJECTIVE
careta	1276,NOUN,ADJECTIVE,SINGULAR
lustro	1276,NOUN,VERB,SINGULAR
fuelle	1269,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
sordas	1269,ADJECTIVE,NOUN,PLURAL
quejar	1268,VERB
pivote	1267,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
suecos	1267,ADJECTIVE,NOUN,PLURAL
peluda	1264,ADJECTIVE
bistec	1262,NOUN,SINGULAR
afasia	1256,NOUN,SINGULAR
petaca	1253,NOUN,SINGULAR
beatas	1251,ADJECTIVE
pisada	1249,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
tallar	1249,VERB
diurno	1246,ADJECTIVE,NOUN,SINGULAR
palito	1245,NOUN,SINGULAR
insumo	1241,NOUN,VERB,SINGULAR
hondos	1240,ADJECTIVE
impune	1237,ADJECTIVE
resort	1234,NOUN,SINGULAR
avispa	1233,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
sopera	1226,NOUN,SINGULAR
dispar	1225,ADJECTIVE
dosier	1225,NOUN,SINGULAR
nailon	1222,NOUN,SINGULAR
tijera	1213,NOUN,SINGULAR
cajera	1210,NOUN,SINGULAR
rascar	1210,VERB
grillo	1209,NOUN,VERB,SINGULAR
petate	1208,NOUN,VERB,IMP,INFLECTED_FORM,SINGULAR
fonema	1205,NOUN,SINGULAR
hogaza	1204,NOUN,SINGULAR
rasgar	1204,VERB
expiar	1203,VERB
tensar	1202,VERB
vileza	1198,NOUN,SINGULAR
